N,Dim,Alpha,Energy
1,1,0.2,0.5542476526047847
1,1,0.25,0.7113008812633169
1,1,0.3,0.5698458850175456
1,1,0.35,0.5380258627537474
1,1,0.4,0.4994262514508866
1,1,0.45,0.500973667085136
1,1,0.5,0.5000499997107252
1,1,0.55,0.5069169115674842
1,1,0.6,0.5046365126021171
1,1,0.65,0.5096603801847466
1,1,0.7,0.5515159663245627
1,1,0.75,0.5534682700480114
1,1,0.8,0.5645270889458976
10,1,0.2,8.726854744457599
10,1,0.25,6.561204662492774
10,1,0.3,5.300276160714619
10,1,0.35,5.152128938344758
10,1,0.4,5.1157740765282576
10,1,0.45,5.035339820357438
10,1,0.5,5.000500004849296
10,1,0.55,5.070495201449267
10,1,0.6,5.096954729165978
10,1,0.65,5.19565570986947
10,1,0.7,4.9785591643828875
10,1,0.75,5.59527473899571
10,1,0.8,5.430474073798686
100,1,0.2,56.92004085754892
100,1,0.25,53.62857632173156
100,1,0.3,49.441521666644604
100,1,0.35,50.34545331602837
100,1,0.4,49.81704907103692
100,1,0.45,50.432998093189404
100,1,0.5,50.00500014570273
100,1,0.55,50.34394583785682
100,1,0.6,51.19087871742386
100,1,0.65,52.87664586469993
100,1,0.7,55.51922330305858
100,1,0.75,53.24651428220169
100,1,0.8,55.43232147826433
1,2,0.2,1.4810720782737
1,2,0.25,1.1676783669243644
1,2,0.3,1.1048176033693589
1,2,0.35,1.0545192139167026
1,2,0.4,1.0128646144488769
1,2,0.45,1.0203830120071145
1,2,0.5,1.0000999998251014
1,2,0.55,1.0092309017442342
1,2,0.6,1.031163524138092
1,2,0.65,1.0337437705587833
1,2,0.7,1.016382531639904
1,2,0.75,1.0672750227472987
1,2,0.8,1.1046541023299323
10,2,0.2,14.040563019702933
10,2,0.25,11.209517409771827
10,2,0.3,11.932787262470901
10,2,0.35,10.873297223053285
10,2,0.4,10.254131881919108
10,2,0.45,9.995380799954114
10,2,0.5,10.001000019633503
10,2,0.55,10.012013631077844
10,2,0.6,10.085128195239674
10,2,0.65,10.114482709078887
10,2,0.7,10.404734925950354
10,2,0.75,11.01820621352469
10,2,0.8,11.25314662426934
100,2,0.2,115.06550346580755
100,2,0.25,107.59688207520554
100,2,0.3,98.9472756078538
100,2,0.35,99.44924654552759
100,2,0.4,100.02999849545952
100,2,0.45,99.12288943984224
100,2,0.5,100.01000109595299
100,2,0.55,101.97921794361847
100,2,0.6,102.14382425805029
100,2,0.65,104.44092763506222
100,2,0.7,104.91906495099394
100,2,0.75,113.75156350114815
100,2,0.8,113.24757134598808
1,3,0.2,2.1217152327387825
1,3,0.25,1.7651238902811648
1,3,0.3,1.7712045208149172
1,3,0.35,1.6377033640141887
1,3,0.4,1.5570240169790128
1,3,0.45,1.5180180319564918
1,3,0.5,1.5001499997478696
1,3,0.55,1.5009521748530958
1,3,0.6,1.5180845627033825
1,3,0.65,1.5339313406726318
1,3,0.7,1.5462297945820358
1,3,0.75,1.561770112100581
1,3,0.8,1.6390222820306553
10,3,0.2,22.143448292814742
10,3,0.25,18.05090595829721
10,3,0.3,16.44714704893735
10,3,0.35,15.728461550986948
10,3,0.4,15.356874629415753
10,3,0.45,15.164171356843555
10,3,0.5,15.001500522148783
10,3,0.55,15.062419497867781
10,3,0.6,15.1879311209339
10,3,0.65,15.717400036960221
10,3,0.7,15.620115945896227
10,3,0.75,16.500263720082238
10,3,0.8,16.293287162480592
100,3,0.2,174.11165298085103
100,3,0.25,153.99284829084712
100,3,0.3,148.32265519561963
100,3,0.35,154.77858962858755
100,3,0.4,149.23495466328978
100,3,0.45,148.48868560515996
100,3,0.5,150.01500507272948
100,3,0.55,151.260716059177
100,3,0.6,155.528768001663
100,3,0.65,156.03343714070215
100,3,0.7,159.9756116312803
100,3,0.75,166.0767155417597
100,3,0.8,173.53867378718877
