Alpha,Energy,time[ms]
0.2,0.6301882315928885,0.0
0.21020408163265308,0.4953885306419859,0.0
0.22040816326530613,0.6863958252854431,0.0
0.2306122448979592,0.2753387062001931,0.0
0.24081632653061225,0.4491884857349536,0.0
0.2510204081632653,0.8120569264300955,0.0
0.2612244897959184,0.6574119395754108,0.0
0.27142857142857146,0.7036164505573581,0.0
0.2816326530612245,0.8495011300629034,0.0
0.29183673469387755,0.733658431499691,0.0
0.3020408163265306,0.3279305195900299,0.0
0.31224489795918364,0.4179200569042272,0.0
0.3224489795918367,0.6328581993913643,0.0
0.3326530612244898,0.4860481670465039,0.0
0.34285714285714286,0.49428796864882146,1.0018348693847656
0.35306122448979593,0.3579446674948253,0.4761219024658203
0.363265306122449,0.43131763927489597,0.0
0.3734693877551021,0.6683156504580232,0.0
0.3836734693877551,0.5846128914506736,0.0
0.39387755102040817,0.40276645140367534,0.5419254302978516
0.4040816326530612,0.48408639176166035,0.0
0.41428571428571426,0.48985556995031715,0.0
0.42448979591836733,0.5387677427714695,0.0
0.4346938775510204,0.43487317636205103,0.0
0.4448979591836735,0.4879862383236753,0.0
0.45510204081632655,0.5696745405860244,0.9973049163818359
0.46530612244897956,0.5978853728530755,0.0
0.47551020408163264,0.5137473885773531,0.0
0.4857142857142857,0.4928935975698452,0.0
0.4959183673469388,0.5037916651324496,0.0
0.5061224489795918,0.492996518897991,0.0
0.5163265306122449,0.4525034119968604,0.0
0.5265306122448979,0.4187422710543269,0.0
0.536734693877551,0.45301939172629957,0.0
0.5469387755102041,0.5417123333540024,0.9958744049072266
0.5571428571428572,0.5334350995059682,0.0
0.5673469387755101,0.3317494751251955,0.0
0.5775510204081633,0.49189352498259953,0.0
0.5877551020408163,0.28174068858174117,0.0
0.5979591836734693,0.56684216456041,0.0
0.6081632653061224,0.32284101050085096,0.0
0.6183673469387755,0.47939620365480506,0.0
0.6285714285714286,0.4074660761642235,0.0
0.6387755102040816,0.050234463738200064,0.0
0.6489795918367347,-0.0002605989867231484,0.0
0.6591836734693877,0.013561516635394177,0.0
0.6693877551020408,0.44103336441713503,0.0
0.6795918367346938,0.3455068716607253,0.0
0.689795918367347,0.5790916291569744,0.0
0.7,0.536566381203558,0.0
